,put_price,put_antithetic,std,std_antithetic,black_scholes_put
Num Sims,,,,,
100,7.405162151949441,7.3719729963148435,8.200372821987465,7.79727624910028,7.302107261067341
200,7.561589328959532,8.038423948560492,8.245636560044673,8.003826840108543,7.302107261067341
300,7.189926279968731,7.523352954541243,8.27304886215831,8.495274779198985,7.302107261067341
400,7.666050718620857,7.630568273141772,8.40068457108283,8.456106311873004,7.302107261067341
500,7.893265177017505,7.619984102021702,8.702406563006095,8.671738782876156,7.302107261067341
600,7.341292349153118,7.569922278064268,8.283573721649113,8.43707156903292,7.302107261067341
700,7.136572669854341,7.131493723082796,8.191328671666218,8.087394371711712,7.302107261067341
800,6.670773717856255,7.522235998275316,8.108908404796658,8.06154293680354,7.302107261067341
900,7.312680871288759,7.341194377256891,8.141697283327103,8.246366260436012,7.302107261067341
1000,7.277996585215989,7.307287675400469,8.342816700963596,8.172598063965705,7.302107261067341
1100,7.697546057791389,7.481214304512099,8.478858157146066,8.350627167714071,7.302107261067341
1200,7.415344419874277,7.432274699058514,8.189272101490012,8.285335043237836,7.302107261067341
1300,7.564200723156099,7.313575329865922,8.541645284230489,8.173013666541259,7.302107261067341
1400,7.2691081817677,7.135806334073958,8.085776275246445,8.269910539644457,7.302107261067341
1500,7.433433581103136,7.648153527089723,8.334676916960557,8.182019177297716,7.302107261067341
1600,7.4923616337095185,7.450943682670792,8.419125816242996,8.275653309834007,7.302107261067341
1700,7.033080482066422,7.081140831972746,8.173902992949774,8.232590115088469,7.302107261067341
1800,7.0455187205789,7.316350757991178,8.049172382609463,8.408077016460059,7.302107261067341
1900,7.277028043043613,7.313737644006793,8.22475022169927,8.326308501909999,7.302107261067341
2000,7.3611987332770905,7.313367857744024,8.265021065998042,8.284669947483113,7.302107261067341
2100,7.295950274722681,7.160899412374399,8.258962591217276,8.21634090152023,7.302107261067341
2200,7.5123101474018945,7.152648580844763,8.327467242789991,8.090290629097474,7.302107261067341
2300,7.120883295266199,7.33385043915452,8.06643998907233,8.199787697891251,7.302107261067341
2400,7.221078430967829,7.342256926795331,8.450663597217682,8.258165981444003,7.302107261067341
2500,7.21669808277535,7.079046568318782,8.215700379081218,8.038605575123315,7.302107261067341
2600,7.166146695377631,6.895092796476612,8.234357446235478,8.053372950847749,7.302107261067341
2700,7.116877948832891,7.337302918235409,8.148771113813558,8.297904662059844,7.302107261067341
2800,7.127722485710154,7.38840322662518,8.259310081727875,8.21615390462317,7.302107261067341
2900,7.510289567807489,7.398305830773079,8.307013937210149,8.112409447678157,7.302107261067341
3000,7.541747480568574,7.1958147809014426,8.43711486765826,8.250364707726892,7.302107261067341
3100,7.101564068298922,7.134400285787888,8.147452497389038,8.297355156751838,7.302107261067341
3200,7.274492662439031,7.201407726274659,8.266419215107486,8.154593906786221,7.302107261067341
3300,7.1294963614896965,7.416457627577615,8.186912115605095,8.427505346834996,7.302107261067341
3400,7.151939348458826,7.007306626054795,8.166896689400966,8.13900677052115,7.302107261067341
3500,7.372215503905823,7.393215881379892,8.311344330267621,8.298057801668278,7.302107261067341
3600,7.248741094108632,7.279047571028226,8.364054355573238,8.197957504229127,7.302107261067341
3700,7.389719774353868,7.285151833020162,8.356668459705274,8.323610084486258,7.302107261067341
3800,7.27703977896108,7.352014825678735,8.286001600925067,8.318875899880398,7.302107261067341
3900,7.242537108204068,7.192085265943723,8.137967953111636,8.218323580455381,7.302107261067341
4000,7.308253194011154,7.171611434233275,8.285194685978178,8.105055388920551,7.302107261067341
4100,7.076168229763094,7.286019720006518,8.13806533796648,8.35735081670137,7.302107261067341
4200,7.361371963576432,7.286934453214172,8.298192008708497,8.20704085437807,7.302107261067341
4300,7.425807096756214,7.183378250834486,8.326687175725146,8.313246259431459,7.302107261067341
4400,7.40859768107156,7.2193391777163205,8.2588566401403,8.216573537796883,7.302107261067341
